t,x_des,y_des,z_des,x_act,y_act,z_act
4.36,9.65667,2.59782,2,9.46094,2.55405,2
4.37,9.66442,2.56884,2,9.47025,2.52461,2
4.38,9.67209,2.53983,2,9.47975,2.49519,2
4.39,9.67966,2.5108,2,9.48945,2.4658,2
4.4,9.68715,2.48175,2,9.49935,2.43643,2
4.41,9.69455,2.45268,2,9.50943,2.40709,2
4.42,9.70187,2.42359,2,9.5197,2.37779,2
4.43,9.70909,2.39447,2,9.53015,2.34851,2
4.44,9.71623,2.36533,2,9.54077,2.31926,2
4.45,9.72329,2.33617,2,9.55156,2.29004,2
4.46,9.73025,2.30699,2,9.56251,2.26085,2
4.47,9.73713,2.27779,2,9.57361,2.23169,2
4.48,9.74392,2.24857,2,9.58486,2.20256,2
4.49,9.75062,2.21933,2,9.59625,2.17346,2
4.5,9.75723,2.19007,2,9.60776,2.14439,2
4.51,9.76376,2.16079,2,9.6194,2.11536,2
4.52,9.7702,2.13148,2,9.63116,2.08635,2
4.53,9.77655,2.10216,2,9.64302,2.05737,2
4.54,9.78281,2.07283,2,9.65497,2.02842,2
4.55,9.78899,2.04347,2,9.66701,1.9995,2
4.56,9.79507,2.01409,2,9.67913,1.9706,2
4.57,9.80107,1.9847,2,9.69131,1.94174,2
4.58,9.80698,1.95529,2,9.70355,1.9129,2
4.59,9.8128,1.92586,2,9.71584,1.88408,2
4.6,9.81854,1.89641,2,9.72816,1.85529,2
4.61,9.82418,1.86694,2,9.74051,1.82652,2
4.62,9.82974,1.83746,2,9.75287,1.79778,2
4.63,9.83521,1.80797,2,9.76523,1.76905,2
4.64,9.84058,1.77845,2,9.77759,1.74035,2
4.65,9.84588,1.74892,2,9.78992,1.71166,2
4.66,9.85108,1.71938,2,9.80223,1.68299,2
4.67,9.85619,1.68982,2,9.81449,1.65434,2
4.68,9.86122,1.66024,2,9.8267,1.6257,2
4.69,9.86615,1.63065,2,9.83884,1.59708,2
4.7,9.871,1.60104,2,9.85091,1.56846,2
4.71,9.87576,1.57142,2,9.86289,1.53986,2
4.72,9.88043,1.54179,2,9.87476,1.51126,2
4.73,9.88501,1.51214,2,9.88653,1.48268,2
4.74,9.8895,1.48248,2,9.89816,1.45409,2
4.75,9.89391,1.4528,2,9.90967,1.42551,2
4.76,9.89822,1.42312,2,9.92102,1.39693,2
4.77,9.90244,1.39341,2,9.93222,1.36835,2
4.78,9.90658,1.3637,2,9.94325,1.33977,2
4.79,9.91063,1.33397,2,9.95409,1.31118,2
4.8,9.91458,1.30424,2,9.96474,1.28259,2
4.81,9.91845,1.27449,2,9.97519,1.25399,2
4.82,9.92223,1.24473,2,9.98543,1.22538,2
4.83,9.92592,1.21495,2,9.99544,1.19676,2
4.84,9.92952,1.18517,2,10.0052,1.16813,2
4.85,9.93303,1.15538,2,10.0147,1.13948,2
4.86,9.93645,1.12557,2,10.024,1.11081,2
4.87,9.93978,1.09576,2,10.033,1.08213,2
4.88,9.94303,1.06593,2,10.0417,1.05342,2
4.89,9.94618,1.0361,2,10.0502,1.02469,2
4.9,9.94924,1.00626,2,10.0583,0.99594,2
4.91,9.95222,0.976405,2,10.0662,0.967161,2
4.92,9.9551,0.946544,2,10.0737,0.938355,2
4.93,9.9579,0.916675,2,10.081,0.909519,2
4.94,9.9606,0.886797,2,10.0879,0.880652,2
4.95,9.96322,0.856911,2,10.0945,0.851753,2
